21:44:12.428767 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374068:374224, ack 181, win 501, length 156
21:44:12.432773 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 378956:379112, ack 181, win 501, length 156
21:44:12.432894 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379112:379268, ack 181, win 501, length 156
21:44:12.432991 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 365384, win 6294, length 0
21:44:12.433064 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379268:379424, ack 181, win 501, length 156
21:44:12.433234 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379424:379684, ack 181, win 501, length 260
21:44:12.433443 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379684:379840, ack 181, win 501, length 156
21:44:12.433599 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379840:379996, ack 181, win 501, length 156
21:44:12.433722 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 379996:380152, ack 181, win 501, length 156
21:44:12.433841 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380152:380308, ack 181, win 501, length 156
21:44:12.434021 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380308:380464, ack 181, win 501, length 156
21:44:12.434183 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380464:380620, ack 181, win 501, length 156
21:44:12.434309 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380620:380776, ack 181, win 501, length 156
21:44:12.434429 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380776:380932, ack 181, win 501, length 156
21:44:12.434546 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 380932:381088, ack 181, win 501, length 156
21:44:12.434662 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381088:381244, ack 181, win 501, length 156
21:44:12.434780 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381244:381400, ack 181, win 501, length 156
21:44:12.434898 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381400:381556, ack 181, win 501, length 156
21:44:12.434976 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 366684, win 6295, length 0
21:44:12.435089 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381556:381816, ack 181, win 501, length 260
21:44:12.435211 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381816:381972, ack 181, win 501, length 156
21:44:12.435418 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 381972:382128, ack 181, win 501, length 156
21:44:12.435686 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382128:382284, ack 181, win 501, length 156
21:44:12.435987 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382284:382440, ack 181, win 501, length 156
21:44:12.436188 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382440:382596, ack 181, win 501, length 156
21:44:12.436336 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382596:382752, ack 181, win 501, length 156
21:44:12.436459 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382752:382908, ack 181, win 501, length 156
21:44:12.436584 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 382908:383064, ack 181, win 501, length 156
21:44:12.436706 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 383064:383220, ack 181, win 501, length 156
21:44:12.436832 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 383220:383376, ack 181, win 501, length 156
21:44:12.436947 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 383376:383532, ack 181, win 501, length 156
21:44:12.438738 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 368348, win 6295, length 0
21:44:12.438807 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 383532:383688, ack 181, win 501, length 156
21:44:12.438829 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 370064, win 6295, length 0
21:44:12.439048 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 383688:384052, ack 181, win 501, length 364
21:44:12.439190 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384052:384208, ack 181, win 501, length 156
21:44:12.439215 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 371832, win 6295, length 0
21:44:12.439405 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384208:384468, ack 181, win 501, length 260
21:44:12.439555 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384468:384624, ack 181, win 501, length 156
21:44:12.439694 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384624:384780, ack 181, win 501, length 156
21:44:12.439818 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384780:384936, ack 181, win 501, length 156
21:44:12.440025 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 384936:385092, ack 181, win 501, length 156
21:44:12.440158 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385092:385248, ack 181, win 501, length 156
21:44:12.440287 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385248:385404, ack 181, win 501, length 156
21:44:12.440404 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385404:385560, ack 181, win 501, length 156
21:44:12.440507 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 373340, win 6295, length 0
21:44:12.440589 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385560:385716, ack 181, win 501, length 156
21:44:12.440761 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385716:385976, ack 181, win 501, length 260
21:44:12.440891 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 385976:386132, ack 181, win 501, length 156
21:44:12.441009 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386132:386288, ack 181, win 501, length 156
21:44:12.441127 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386288:386444, ack 181, win 501, length 156
21:44:12.441245 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386444:386600, ack 181, win 501, length 156
21:44:12.441361 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386600:386756, ack 181, win 501, length 156
21:44:12.441480 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386756:386912, ack 181, win 501, length 156
21:44:12.441593 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 386912:387068, ack 181, win 501, length 156
21:44:12.441706 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387068:387224, ack 181, win 501, length 156
21:44:12.441823 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387224:387380, ack 181, win 501, length 156
21:44:12.441995 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387380:387536, ack 181, win 501, length 156
21:44:12.442224 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 375004, win 6295, length 0
21:44:12.442244 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387536:387692, ack 181, win 501, length 156
21:44:12.442406 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387692:387952, ack 181, win 501, length 260
21:44:12.442552 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 387952:388108, ack 181, win 501, length 156
21:44:12.442669 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388108:388264, ack 181, win 501, length 156
21:44:12.442787 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388264:388420, ack 181, win 501, length 156
21:44:12.442908 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388420:388576, ack 181, win 501, length 156
21:44:12.443018 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388576:388732, ack 181, win 501, length 156
21:44:12.443132 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388732:388888, ack 181, win 501, length 156
21:44:12.443250 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 388888:389044, ack 181, win 501, length 156
21:44:12.443365 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389044:389200, ack 181, win 501, length 156
21:44:12.443476 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389200:389356, ack 181, win 501, length 156
21:44:12.443586 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389356:389512, ack 181, win 501, length 156
21:44:12.443708 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389512:389668, ack 181, win 501, length 156
21:44:12.443823 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389668:389824, ack 181, win 501, length 156
21:44:12.444005 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389824:389980, ack 181, win 501, length 156
21:44:12.444135 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 389980:390136, ack 181, win 501, length 156
21:44:12.444251 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390136:390292, ack 181, win 501, length 156
21:44:12.444372 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390292:390448, ack 181, win 501, length 156
21:44:12.444484 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390448:390604, ack 181, win 501, length 156
21:44:12.444616 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390604:390760, ack 181, win 501, length 156
21:44:12.444719 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 377136, win 6295, length 0
21:44:12.444802 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390760:390916, ack 181, win 501, length 156
21:44:12.444943 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 390916:391176, ack 181, win 501, length 260
21:44:12.445060 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391176:391332, ack 181, win 501, length 156
21:44:12.445179 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 378384, win 6290, length 0
21:44:12.445271 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391332:391488, ack 181, win 501, length 156
21:44:12.445385 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391488:391628, ack 181, win 501, length 140
21:44:12.445491 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391628:391784, ack 181, win 501, length 156
21:44:12.445550 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391784:391940, ack 181, win 501, length 156
21:44:12.445682 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 391940:392216, ack 181, win 501, length 276
21:44:12.445796 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392216:392372, ack 181, win 501, length 156
21:44:12.445993 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392372:392528, ack 181, win 501, length 156
21:44:12.446142 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392528:392684, ack 181, win 501, length 156
21:44:12.446269 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392684:392840, ack 181, win 501, length 156
21:44:12.446387 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392840:392996, ack 181, win 501, length 156
21:44:12.446502 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 392996:393152, ack 181, win 501, length 156
21:44:12.446633 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 393152:393308, ack 181, win 501, length 156
21:44:12.446705 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 379840, win 6295, length 0
21:44:12.446816 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 393308:393568, ack 181, win 501, length 260
21:44:12.446958 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 393568:393724, ack 181, win 501, length 156
21:44:12.447075 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 393724:393880, ack 181, win 501, length 156
21:44:12.447189 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 393880:394036, ack 181, win 501, length 156
21:44:12.447304 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394036:394192, ack 181, win 501, length 156
21:44:12.447424 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394192:394348, ack 181, win 501, length 156
21:44:12.447542 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394348:394504, ack 181, win 501, length 156
21:44:12.447656 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394504:394660, ack 181, win 501, length 156
21:44:12.447779 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394660:394816, ack 181, win 501, length 156
21:44:12.447946 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394816:394972, ack 181, win 501, length 156
21:44:12.448067 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 394972:395128, ack 181, win 501, length 156
21:44:12.448183 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395128:395284, ack 181, win 501, length 156
21:44:12.448299 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395284:395440, ack 181, win 501, length 156
21:44:12.448432 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395440:395596, ack 181, win 501, length 156
21:44:12.448556 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395596:395752, ack 181, win 501, length 156
21:44:12.448717 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 381816, win 6295, length 0
21:44:12.448831 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395752:395908, ack 181, win 501, length 156
21:44:12.449005 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 395908:396168, ack 181, win 501, length 260
21:44:12.449127 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396168:396324, ack 181, win 501, length 156
21:44:12.449241 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396324:396480, ack 181, win 501, length 156
21:44:12.449358 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396480:396636, ack 181, win 501, length 156
21:44:12.449473 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396636:396792, ack 181, win 501, length 156
21:44:12.449586 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396792:396948, ack 181, win 501, length 156
21:44:12.449698 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 396948:397104, ack 181, win 501, length 156
21:44:12.449733 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 383220, win 6290, length 0
21:44:12.449868 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397104:397364, ack 181, win 501, length 260
21:44:12.450011 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397364:397520, ack 181, win 501, length 156
21:44:12.450129 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397520:397676, ack 181, win 501, length 156
21:44:12.450244 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397676:397832, ack 181, win 501, length 156
21:44:12.450359 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397832:397988, ack 181, win 501, length 156
21:44:12.450489 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 397988:398144, ack 181, win 501, length 156
21:44:12.450612 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 398144:398300, ack 181, win 501, length 156
21:44:12.450730 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 398300:398456, ack 181, win 501, length 156
21:44:12.450843 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 398456:398612, ack 181, win 501, length 156
21:44:12.450957 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 398612:398768, ack 181, win 501, length 156
21:44:12.450985 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 383532, win 6295, length 0
21:44:12.451112 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 398768:399028, ack 181, win 501, length 260
21:44:12.451236 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399028:399184, ack 181, win 501, length 156
21:44:12.451354 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399184:399340, ack 181, win 501, length 156
21:44:12.451469 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399340:399496, ack 181, win 501, length 156
21:44:12.451581 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399496:399652, ack 181, win 501, length 156
21:44:12.451698 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399652:399808, ack 181, win 501, length 156
21:44:12.451815 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399808:399964, ack 181, win 501, length 156
21:44:12.452030 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 399964:400120, ack 181, win 501, length 156
21:44:12.452211 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 400120:400276, ack 181, win 501, length 156
21:44:12.452343 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 400276:400432, ack 181, win 501, length 156
21:44:12.452460 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 400432:400588, ack 181, win 501, length 156
21:44:12.453004 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [P.], seq 181:217, ack 383532, win 6295, length 36
21:44:12.453031 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 384936, win 6290, length 0
21:44:12.453053 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 400588:400744, ack 217, win 501, length 156
21:44:12.453264 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 400744:401124, ack 217, win 501, length 380
21:44:12.453392 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401124:401280, ack 217, win 501, length 156
21:44:12.453507 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401280:401436, ack 217, win 501, length 156
21:44:12.453625 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401436:401592, ack 217, win 501, length 156
21:44:12.453744 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401592:401748, ack 217, win 501, length 156
21:44:12.453862 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401748:401904, ack 217, win 501, length 156
21:44:12.453979 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 401904:402060, ack 217, win 501, length 156
21:44:12.454202 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 386600, win 6295, length 0
21:44:12.454233 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402060:402216, ack 217, win 501, length 156
21:44:12.454390 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402216:402476, ack 217, win 501, length 260
21:44:12.454516 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402476:402632, ack 217, win 501, length 156
21:44:12.454639 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402632:402788, ack 217, win 501, length 156
21:44:12.454759 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402788:402944, ack 217, win 501, length 156
21:44:12.454877 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 402944:403100, ack 217, win 501, length 156
21:44:12.454993 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403100:403256, ack 217, win 501, length 156
21:44:12.455139 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403256:403412, ack 217, win 501, length 156
21:44:12.455268 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403412:403568, ack 217, win 501, length 156
21:44:12.455386 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403568:403724, ack 217, win 501, length 156
21:44:12.455747 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 388420, win 6295, length 0
21:44:12.455777 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403724:403880, ack 217, win 501, length 156
21:44:12.455983 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 403880:404140, ack 217, win 501, length 260
21:44:12.456117 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404140:404296, ack 217, win 501, length 156
21:44:12.456240 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404296:404452, ack 217, win 501, length 156
21:44:12.456359 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404452:404608, ack 217, win 501, length 156
21:44:12.456472 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404608:404764, ack 217, win 501, length 156
21:44:12.456584 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404764:404920, ack 217, win 501, length 156
21:44:12.456702 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 404920:405076, ack 217, win 501, length 156
21:44:12.456820 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405076:405232, ack 217, win 501, length 156
21:44:12.456940 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405232:405388, ack 217, win 501, length 156
21:44:12.457053 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405388:405544, ack 217, win 501, length 156
21:44:12.457239 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 390292, win 6295, length 0
21:44:12.457271 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405544:405700, ack 217, win 501, length 156
21:44:12.457416 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405700:405960, ack 217, win 501, length 260
21:44:12.457543 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 405960:406116, ack 217, win 501, length 156
21:44:12.457668 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406116:406272, ack 217, win 501, length 156
21:44:12.457789 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406272:406428, ack 217, win 501, length 156
21:44:12.457906 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406428:406584, ack 217, win 501, length 156
21:44:12.458072 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406584:406740, ack 217, win 501, length 156
21:44:12.458245 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406740:406896, ack 217, win 501, length 156
21:44:12.458369 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 406896:407052, ack 217, win 501, length 156
21:44:12.458493 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407052:407208, ack 217, win 501, length 156
21:44:12.458612 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407208:407364, ack 217, win 501, length 156
